player_name,gb_actual_BA_23,gb_xBA_23,gb_luck_23,gb_count_23,gb_actual_BA_22,gb_xBA_22,gb_luck_22,gb_count_22,gb_luck_increase,ld_actual_BA_23,ld_xBA_23,ld_luck_23,ld_count_23,ld_actual_BA_22,ld_xBA_22,ld_luck_22,ld_count_22,ld_luck_increase,total_luck_increase
"Mancini, Trey",0.208,0.242,-0.034,53,0.377,0.256,0.121,53,-0.155,0.654,0.582,0.072,26,0.542,0.598,-0.056,48,0.128,-0.038655555555555554
"Margot, Manuel",0.327,0.242,0.086,55,0.342,0.261,0.081,38,0.0049999999999999906,0.522,0.606,-0.084,23,0.742,0.699,0.043,31,-0.127,-0.04348979591836735
"Marsh, Brandon",0.356,0.238,0.118,45,0.383,0.254,0.129,47,-0.01100000000000001,0.615,0.609,0.006,26,0.545,0.597,-0.051,22,0.056999999999999995,0.012314285714285708
"Marte, Ketel",0.253,0.228,0.025,79,0.27,0.268,0.002,63,0.023,0.718,0.644,0.074,39,0.633,0.558,0.075,30,-0.0010000000000000009,0.01515165876777251
"Marte, Starling",0.243,0.193,0.05,70,0.273,0.204,0.068,77,-0.018000000000000002,0.586,0.682,-0.096,29,0.7,0.626,0.074,30,-0.16999999999999998,-0.06153398058252427
"Martinez, J.D.",0.225,0.31,-0.085,40,0.349,0.259,0.089,43,-0.174,0.667,0.743,-0.077,30,0.756,0.678,0.079,41,-0.156,-0.16570129870129868
"Mateo, Jorge",0.25,0.227,0.023,56,0.189,0.215,-0.026,37,0.049,0.625,0.64,-0.015,24,0.528,0.583,-0.055,36,0.04,0.04547058823529412
"McCutchen, Andrew",0.26,0.237,0.023,50,0.265,0.229,0.037,49,-0.013999999999999999,0.677,0.656,0.021,31,0.52,0.683,-0.163,25,0.184,0.05753548387096774
"McMahon, Ryan",0.255,0.261,-0.006,55,0.217,0.231,-0.014,46,0.008,0.71,0.63,0.079,31,0.667,0.666,0.001,36,0.078,0.035916666666666666
"McNeil, Jeff",0.263,0.216,0.047,76,0.311,0.224,0.087,61,-0.039999999999999994,0.653,0.644,0.01,49,0.667,0.621,0.046,42,-0.036,-0.03840350877192982
"Mejía, Francisco",0.217,0.246,-0.029,23,0.222,0.275,-0.053,18,0.023999999999999997,0.625,0.577,0.048,16,0.5,0.505,-0.005,16,0.053,0.036712328767123284
"Merrifield, Whit",0.255,0.184,0.071,51,0.254,0.23,0.024,63,0.04699999999999999,0.653,0.58,0.073,49,0.4,0.57,-0.17,40,0.243,0.13293103448275861
"Miller, Owen",0.295,0.227,0.069,44,0.279,0.263,0.016,43,0.053000000000000005,0.818,0.614,0.204,22,0.588,0.575,0.013,34,0.19099999999999998,0.10704195804195804
"Mountcastle, Ryan",0.254,0.243,0.011,67,0.195,0.264,-0.069,41,0.08,0.436,0.626,-0.19,39,0.684,0.698,-0.014,38,-0.176,-0.026551351351351345
"Moustakas, Mike",0.312,0.253,0.06,16,0.25,0.21,0.04,28,0.019999999999999997,0.688,0.546,0.142,16,0.706,0.585,0.121,17,0.02099999999999999,0.02042857142857142
"Mullins, Cedric",0.281,0.285,-0.005,57,0.27,0.249,0.021,63,-0.026000000000000002,0.806,0.663,0.143,31,0.562,0.618,-0.056,32,0.19899999999999998,0.05145901639344261
"Murphy, Sean",0.286,0.289,-0.003,49,0.213,0.22,-0.007,47,0.004,0.606,0.68,-0.074,33,0.6,0.596,0.004,30,-0.078,-0.02849056603773585
"Myers, Wil",0.171,0.221,-0.05,41,0.316,0.217,0.098,38,-0.14800000000000002,0.812,0.684,0.128,16,0.6,0.639,-0.039,20,0.167,-0.04939130434782609
"Naylor, Josh",0.207,0.277,-0.07,58,0.195,0.205,-0.01,41,-0.060000000000000005,0.552,0.655,-0.103,29,0.75,0.702,0.048,20,-0.151,-0.0901283783783784
"Nimmo, Brandon",0.333,0.239,0.094,84,0.343,0.229,0.114,70,-0.020000000000000004,0.583,0.652,-0.069,48,0.517,0.569,-0.051,29,-0.01800000000000001,-0.019333333333333338
"Odor, Rougned",0.211,0.232,-0.021,19,0.27,0.229,0.041,37,-0.062,0.45,0.542,-0.092,20,0.737,0.616,0.121,19,-0.213,-0.12398947368421051
"Ohtani, Shohei",0.284,0.245,0.039,74,0.203,0.205,-0.002,59,0.041,0.655,0.627,0.028,29,0.562,0.589,-0.026,32,0.054,0.04508762886597938
"Olson, Matt",0.255,0.253,0.003,47,0.156,0.269,-0.113,64,0.116,0.643,0.624,0.019,28,0.833,0.735,0.099,30,-0.08,0.0487337278106509
"Ozuna, Marcell",0.156,0.218,-0.063,45,0.2,0.251,-0.051,55,-0.012000000000000004,0.812,0.708,0.104,16,0.704,0.671,0.032,27,0.072,0.013258741258741255
"Peralta, David",0.268,0.266,0.002,56,0.229,0.219,0.009,35,-0.006999999999999999,0.455,0.668,-0.213,22,0.607,0.633,-0.026,28,-0.187,-0.07082978723404255
"Perdomo, Geraldo",0.286,0.18,0.106,42,0.2,0.203,-0.003,35,0.109,0.769,0.611,0.158,26,0.615,0.626,-0.01,26,0.168,0.13278294573643412
"Perez, Salvador",0.294,0.261,0.033,51,0.195,0.275,-0.08,41,0.113,0.59,0.645,-0.055,39,0.579,0.564,0.015,19,-0.07,0.04224
"Peterson, Jace",0.25,0.205,0.045,44,0.176,0.223,-0.047,34,0.092,0.625,0.667,-0.042,16,0.526,0.549,-0.023,19,-0.019000000000000003,0.05761946902654867
"Peña, Jeremy",0.203,0.211,-0.008,69,0.255,0.207,0.049,47,-0.057,0.585,0.537,0.049,41,0.677,0.607,0.071,31,-0.021999999999999992,-0.04359574468085106
"Pham, Tommy",0.206,0.22,-0.014,34,0.277,0.257,0.02,47,-0.034,0.5,0.607,-0.107,22,0.607,0.61,-0.002,28,-0.105,-0.06109923664122138
"Polanco, Jorge",0.304,0.252,0.052,23,0.179,0.275,-0.096,39,0.148,0.579,0.646,-0.067,19,0.667,0.69,-0.023,36,-0.044000000000000004,0.05774358974358974
"Profar, Jurickson",0.197,0.215,-0.018,61,0.203,0.22,-0.016,64,-0.0019999999999999983,0.545,0.614,-0.068,44,0.553,0.57,-0.018,38,-0.05,-0.021014492753623187
"Ramírez, Harold",0.328,0.234,0.094,61,0.264,0.239,0.025,53,0.069,0.586,0.634,-0.048,29,0.462,0.689,-0.228,26,0.18,0.10512426035502959
"Ramírez, José",0.161,0.25,-0.09,56,0.244,0.221,0.023,45,-0.11299999999999999,0.707,0.672,0.036,41,0.667,0.617,0.05,42,-0.014000000000000005,-0.06834239130434783
"Realmuto, J.T.",0.235,0.22,0.016,51,0.412,0.306,0.105,51,-0.089,0.793,0.664,0.129,29,0.407,0.531,-0.124,27,0.253,0.03221518987341772
"Rendon, Anthony",0.241,0.24,0.002,29,0.195,0.273,-0.078,41,0.08,0.621,0.647,-0.027,29,0.636,0.544,0.093,33,-0.12,-0.013939393939393946
"Renfroe, Hunter",0.304,0.297,0.007,69,0.341,0.246,0.095,41,-0.088,0.529,0.59,-0.061,34,0.682,0.572,0.11,22,-0.17099999999999999,-0.11599999999999999
"Reynolds, Bryan",0.262,0.299,-0.037,65,0.115,0.213,-0.098,61,0.061000000000000006,0.622,0.653,-0.031,37,0.586,0.596,-0.01,29,-0.020999999999999998,0.03281250000000001
"Riley, Austin",0.299,0.263,0.036,67,0.268,0.245,0.023,56,0.012999999999999998,0.684,0.678,0.006,38,0.621,0.677,-0.056,29,0.062,0.03027894736842105
"Rivera, Emmanuel",0.44,0.236,0.204,25,0.107,0.236,-0.129,28,0.33299999999999996,0.542,0.659,-0.117,24,0.6,0.573,0.027,15,-0.14400000000000002,0.1307934782608695
"Rizzo, Anthony",0.25,0.235,0.015,44,0.133,0.226,-0.093,45,0.108,0.739,0.651,0.088,46,0.571,0.627,-0.056,28,0.144,0.12434355828220858
"Robert Jr., Luis",0.255,0.252,0.003,51,0.246,0.243,0.002,57,0.001,0.722,0.631,0.091,36,0.581,0.63,-0.049,31,0.14,0.05421714285714286
"Robles, Victor",0.286,0.252,0.034,42,0.292,0.201,0.09,48,-0.055999999999999994,0.75,0.741,0.009,16,0.591,0.529,0.062,22,-0.053,-0.05510937499999999
"Rodríguez, Julio",0.215,0.24,-0.025,65,0.387,0.238,0.149,62,-0.174,0.643,0.7,-0.057,42,0.63,0.654,-0.024,27,-0.033,-0.12436224489795918
"Rojas, Josh",0.224,0.227,-0.003,49,0.312,0.228,0.084,16,-0.08700000000000001,0.6,0.576,0.024,35,0.562,0.597,-0.034,16,0.058,-0.02325
"Rojas, Miguel",0.136,0.257,-0.12,44,0.214,0.219,-0.005,56,-0.11499999999999999,0.571,0.558,0.014,28,0.462,0.557,-0.096,26,0.11,-0.0361038961038961
"Rosario, Amed",0.27,0.255,0.015,74,0.26,0.221,0.039,73,-0.024,0.564,0.648,-0.084,39,0.533,0.647,-0.114,30,0.03,-0.0067500000000000025
"Ruiz, Keibert",0.159,0.235,-0.076,63,0.102,0.227,-0.125,49,0.049,0.537,0.624,-0.088,41,0.69,0.636,0.055,42,-0.143,-0.03272307692307692
"Santana, Carlos",0.121,0.215,-0.094,58,0.125,0.215,-0.09,40,-0.0040000000000000036,0.667,0.633,0.034,39,0.364,0.576,-0.212,22,0.246,0.0919119496855346
"Santander, Anthony",0.444,0.302,0.143,45,0.178,0.258,-0.08,45,0.22299999999999998,0.594,0.661,-0.067,32,0.667,0.628,0.038,27,-0.10500000000000001,0.0931208053691275
"Schoop, Jonathan",0.2,0.23,-0.03,25,0.185,0.245,-0.06,65,0.03,0.6,0.668,-0.068,20,0.4,0.565,-0.165,35,0.097,0.055413793103448274
"Schwarber, Kyle",0.146,0.234,-0.088,41,0.167,0.229,-0.062,42,-0.025999999999999995,0.593,0.647,-0.054,27,0.706,0.701,0.005,17,-0.059,-0.03743307086614173
"Seager, Corey",0.25,0.263,-0.013,32,0.137,0.236,-0.099,51,0.08600000000000001,0.609,0.653,-0.044,23,0.605,0.626,-0.021,38,-0.022999999999999996,0.03982638888888889
"Segura, Jean",0.212,0.2,0.013,80,0.27,0.251,0.019,74,-0.006,0.429,0.647,-0.218,28,0.643,0.66,-0.017,28,-0.201,-0.058
"Semien, Marcus",0.274,0.243,0.031,73,0.226,0.214,0.012,62,0.019,0.69,0.534,0.157,42,0.516,0.544,-0.028,31,0.185,0.07725961538461538
"Senzel, Nick",0.286,0.262,0.024,42,0.12,0.192,-0.072,25,0.096,0.677,0.692,-0.014,31,0.526,0.622,-0.095,19,0.081,0.08958974358974359
"Sheets, Gavin",0.333,0.225,0.108,36,0.324,0.188,0.135,34,-0.02700000000000001,0.571,0.583,-0.011,21,0.455,0.553,-0.098,22,0.08700000000000001,0.016380530973451324
"Smith, Pavin",0.25,0.251,-0.001,36,0.271,0.248,0.023,48,-0.024,0.476,0.532,-0.056,21,0.6,0.513,0.087,15,-0.143,-0.05969999999999999
"Smith, Will",0.3,0.242,0.058,50,0.188,0.252,-0.065,32,0.123,0.556,0.605,-0.05,27,0.6,0.57,0.03,30,-0.08,0.03975539568345323
"Soler, Jorge",0.167,0.232,-0.065,48,0.157,0.261,-0.104,51,0.03899999999999999,0.733,0.691,0.042,30,0.714,0.709,0.006,21,0.036000000000000004,0.03798
"Soto, Juan",0.25,0.259,-0.009,72,0.167,0.231,-0.064,72,0.055,0.864,0.739,0.125,22,0.577,0.645,-0.068,26,0.193,0.0895
"Springer, George",0.259,0.225,0.035,81,0.196,0.225,-0.03,46,0.065,0.618,0.703,-0.085,34,0.706,0.619,0.087,34,-0.172,-0.01764615384615384
"Stephenson, Tyler",0.211,0.242,-0.032,57,0.324,0.22,0.103,34,-0.135,0.692,0.624,0.068,39,0.654,0.625,0.028,26,0.04000000000000001,-0.062083333333333345
"Straw, Myles",0.261,0.222,0.039,69,0.239,0.213,0.026,67,0.013000000000000001,0.656,0.602,0.054,32,0.5,0.518,-0.018,36,0.072,0.03266666666666666
"Suwinski, Jack",0.28,0.227,0.053,25,0.111,0.198,-0.087,27,0.13999999999999999,0.778,0.613,0.165,18,0.533,0.582,-0.049,15,0.21400000000000002,0.1687294117647059
"Suzuki, Seiya",0.326,0.284,0.041,43,0.29,0.264,0.027,31,0.014000000000000002,0.645,0.62,0.025,31,0.609,0.57,0.039,23,-0.013999999999999999,0.002187500000000003
"Suárez, Eugenio",0.259,0.275,-0.016,54,0.25,0.226,0.024,40,-0.04,0.636,0.555,0.081,33,0.684,0.607,0.077,19,0.0040000000000000036,-0.02432876712328767
"Swanson, Dansby",0.279,0.211,0.069,68,0.364,0.277,0.087,44,-0.017999999999999988,0.7,0.666,0.034,40,0.613,0.632,-0.02,31,0.054000000000000006,0.009934426229508204
"Sánchez, Jesús",0.15,0.246,-0.096,20,0.22,0.237,-0.017,50,-0.079,0.824,0.648,0.175,17,0.722,0.728,-0.005,18,0.18,0.007333333333333331
"Taylor, Chris",0.05,0.224,-0.174,20,0.371,0.264,0.107,35,-0.28099999999999997,0.765,0.685,0.079,17,0.63,0.559,0.071,27,0.008000000000000007,-0.15255555555555553
"Taylor, Michael A.",0.3,0.213,0.087,40,0.346,0.213,0.133,26,-0.04600000000000001,0.588,0.681,-0.093,17,0.625,0.62,0.005,16,-0.098,-0.06333333333333334
"Tellez, Rowdy",0.143,0.229,-0.086,49,0.174,0.234,-0.06,46,-0.025999999999999995,0.769,0.709,0.061,26,0.591,0.64,-0.049,22,0.11,0.019650349650349657
"Thomas, Lane",0.25,0.214,0.036,72,0.206,0.201,0.005,34,0.030999999999999996,0.846,0.677,0.169,39,0.55,0.579,-0.029,20,0.198,0.09071515151515151
"Torkelson, Spencer",0.125,0.214,-0.089,48,0.189,0.253,-0.064,37,-0.024999999999999994,0.646,0.654,-0.009,48,0.619,0.594,0.025,21,-0.034,-0.02903246753246753
"Torres, Gleyber",0.257,0.227,0.03,70,0.14,0.266,-0.127,43,0.157,0.659,0.676,-0.017,44,0.625,0.584,0.041,32,-0.058,0.07054497354497355
"Trout, Mike",0.304,0.315,-0.011,46,0.448,0.287,0.161,29,-0.17200000000000001,0.59,0.613,-0.023,39,0.696,0.682,0.014,23,-0.037,-0.11090510948905109
"Tucker, Kyle",0.254,0.259,-0.005,67,0.216,0.31,-0.094,37,0.089,0.444,0.642,-0.197,36,0.517,0.612,-0.095,29,-0.10200000000000001,0.015538461538461536
"Turner, Justin",0.224,0.225,-0.001,58,0.196,0.267,-0.071,51,0.06999999999999999,0.619,0.63,-0.011,42,0.593,0.625,-0.032,27,0.021,0.05100561797752809
"Turner, Trea",0.288,0.252,0.036,66,0.296,0.236,0.059,71,-0.023,0.743,0.683,0.06,35,0.675,0.662,0.013,40,0.047,0.0017641509433962265
"Urshela, Gio",0.35,0.23,0.12,80,0.293,0.227,0.066,58,0.05399999999999999,0.564,0.576,-0.012,39,0.455,0.543,-0.089,33,0.077,0.06188571428571428
"Urías, Ramón",0.225,0.228,-0.003,40,0.236,0.238,-0.001,55,-0.002,0.85,0.702,0.148,20,0.531,0.676,-0.145,32,0.293,0.10235374149659864
"Varsho, Daulton",0.224,0.228,-0.004,58,0.295,0.214,0.081,44,-0.085,0.561,0.642,-0.081,41,0.63,0.571,0.058,27,-0.139,-0.10660000000000001
"Vaughn, Andrew",0.243,0.261,-0.018,74,0.238,0.216,0.022,42,-0.039999999999999994,0.711,0.618,0.092,38,0.611,0.615,-0.003,18,0.095,0.0039534883720930315
"Verdugo, Alex",0.222,0.24,-0.018,72,0.154,0.236,-0.082,78,0.064,0.638,0.648,-0.01,47,0.645,0.572,0.073,31,-0.08299999999999999,0.013710526315789482
"Vázquez, Christian",0.233,0.239,-0.006,30,0.179,0.274,-0.095,39,0.089,0.531,0.599,-0.068,32,0.767,0.65,0.117,30,-0.185,-0.0406793893129771
"Walker, Christian",0.233,0.233,0.0,60,0.176,0.248,-0.071,51,0.071,0.568,0.643,-0.076,37,0.375,0.643,-0.268,24,0.192,0.11391279069767442
"Walls, Taylor",0.167,0.235,-0.068,30,0.121,0.209,-0.088,33,0.01999999999999999,0.762,0.688,0.074,21,0.556,0.574,-0.018,18,0.092,0.04752941176470587
"Ward, Taylor",0.25,0.226,0.024,64,0.387,0.227,0.16,31,-0.136,0.778,0.747,0.031,27,0.708,0.634,0.075,24,-0.044,-0.10386301369863016
"Winker, Jesse",0.258,0.194,0.064,31,0.208,0.242,-0.034,53,0.098,0.56,0.562,-0.002,25,0.529,0.729,-0.2,34,0.198,0.13925874125874127
"Wisdom, Patrick",0.192,0.266,-0.074,26,0.25,0.238,0.012,32,-0.086,0.591,0.636,-0.045,22,0.75,0.683,0.067,20,-0.112,-0.09691999999999999
"Witt Jr., Bobby",0.31,0.225,0.085,58,0.218,0.249,-0.031,55,0.116,0.455,0.592,-0.137,44,0.792,0.652,0.139,24,-0.276,-0.031270718232044206
"Yastrzemski, Mike",0.257,0.255,0.002,35,0.317,0.28,0.038,41,-0.036,0.72,0.614,0.106,25,0.586,0.599,-0.013,29,0.119,0.028384615384615383
"Yelich, Christian",0.213,0.258,-0.045,75,0.239,0.264,-0.024,71,-0.020999999999999998,0.676,0.658,0.018,34,0.64,0.649,-0.009,25,0.026999999999999996,-0.007185365853658536
